Product Description,Price_before_discount,Price_after_discount,Discount,Rating,Number of Reviews,Dispatchment
"Refurbished FUJITSU T734 CORE i7 12.5"" core 4GB RAM 500GB HDD Laptop Notebook windows black 12.5 inch","KSh 25,999","KSh 23,999",7.0,5,0,Local Dispatch
" NEW HP ELITEBOOK 725 AMD A10 12.5"" 4GB RAM 500GB HDD GRAPHICS CARD HP Laptop Notebook windows black 12.5 inch","KSh 36,999","KSh 33,777",8.0,5,0,Local Dispatch
"HP15 NOTEBOOK 15.6""LAPTOP i3 4GB RAM 1000GB HDD+Free Anti-theft Bag+1TB External Harddisk black 15.6 inch","KSh 55,999","KSh 51,999",7.0,5,0,Local Dispatch
"HP15 NOTEBOOK 15.6""LAPTOP i3 4GB RAM 1000GB HDD+Free Anti-theft Bag+16 gb flash black 15.6 inch","KSh 49,999","KSh 47,777",4.0,5,0,Local Dispatch
"NEW HP NOTEBOOK 14 AMD RYZEN 5 14"" 8GB RAM 1TB HDD HP Laptop Notebook windows black 14 inch","KSh 51,999","KSh 49,999",3.0,5,0,Local Dispatch
"Refurbished HP NOTEBOOK 14 i3 14"" 8GB RAM 1TB HDD HP Laptop Notebook windows silver 14 inch","KSh 45,999","KSh 42,999",6.0,5,0,Local Dispatch
14.1 inch laptop 4G RAM+64G SSD 1080p Quad Core ultrathin slim smart notebook computer win10 white 35.1cm*23.2cm*1.7cm,"KSh 45,999","KSh 45,999",,4,1,Oversea Shipment
"Refurbished HP SPECTRE 13X360 CORE 13.3"" i5 8GB RAM 256GB SSD HP Laptop Notebook windows black 13.3inch","KSh 65,999","KSh 60,599",8.0,5,0,Local Dispatch
"NEW HP PROBOOK 11X360 PENTIUM DUOCORE 14"" 4GB RAM 1TB HDD HP Laptop Notebook windows black 14 inch","KSh 41,999","KSh 39,999",4.0,5,0,Local Dispatch
"NEW HP NOTEBOOK 14 CELERON 14"" 4GB RAM 500GB HDD HP Laptop Notebook windows black 14 inch","KSh 32,999","KSh 29,999",9.0,5,0,Local Dispatch
"NEW HP NOTEBOOK 14 Amd ryzen 5 14"" 8GB RAM 1TB HDD 2gb Radeon graphics HP Laptop windows silver 14 inch","KSh 49,999","KSh 48,499",3.0,5,0,Local Dispatch
Lenovo Ideapad 330 Intel CELERON 15.6-Inch Full HD 4GB RAM ITB ROM Laptop black 16 inch,"KSh 35,000","KSh 31,720",9.0,5,0,Local Dispatch
"NEW HP NOTEBOOK 14  CORE I5 14"" 4GB RAM 1TB HDD HP Laptop Notebook windows black 14 inch","KSh 63,999","KSh 61,999",3.0,5,0,Local Dispatch
"Refurbished HP ELITEBOOK FOLIO 9480M 14""core i7 4GB RAM 500GB HDD HP Laptop Notebook windows black 14 inch","KSh 34,999","KSh 31,999",8.0,5,0,Local Dispatch
15.6 inch laptop 6G RAM+64G SSD 1080p Quad Core ultrathin slim smart notebook computer win10 white 37cm*24cm*1.7cm,"KSh 59,999","KSh 29,999",50.0,5,1,Oversea Shipment
Core i7 laptop 15.6 inch high clear screen game office Learning Laptop silver i7 8+128,"KSh 58,888","KSh 58,018",1.0,5,1,Oversea Shipment
"Refurbished Hp elitebook 9480m core i7 14"" 4GB RAM 320GB HDD HP Laptop windows silver 14 inch","KSh 32,899","KSh 30,899",6.0,5,0,Local Dispatch
"NEW HP PROBOOK 450 G3 CORE I5 15.6"" 8GB RAM 750GB HDD HP Laptop Notebook windows black 15.6 inch","KSh 61,999","KSh 60,599",2.0,5,0,Local Dispatch
15.6inch Narrow Bezel laptop Intel i5 i7 Core 8g Ram 128/1024g ssd Ultra-thin light laptops notebook sliver i7 cpu+8G+256G SSD,"KSh 108,000","KSh 51,080",52.0,4,3,Oversea Shipment
HUAWEI Honor MagicBook VLT - W60E Laptop 14 inch W SILVER PRO,"KSh 163,063","KSh 132,545",18.0,5,1,Oversea Shipment
HP Refurbished ProBook 650 i5 4GB 500GB HDD NO OS HP Laptop grey 15.6 inches,"KSh 38,000","KSh 27,999",26.0,5,0,Local Dispatch
"Lenovo ideapad S130 Laptop Brand New Laptop 11.6"" Intel Celeron N4000 500GB HDD 4GB RAM Windows 10 Blue 11.6 Inch","KSh 36,999","KSh 30,999",16.0,5,0,Local Dispatch
14.1 inch laptop 6G RAM+64G SSD 1080p Quad Core ultrathin slim smart notebook computer win10 white 35.1cm*23.2cm*1.7cm,"KSh 59,999","KSh 29,999",50.0,5,0,Oversea Shipment
"HP Laptop Notebooks 15.6"" Intel Celeron 500GB HDD 4GB RAM+WIND 10+ANTIVIRUS+MS OFFICE+16GB Flashdisk black 15.6 inch","KSh 39,999","KSh 29,999",25.0,5,0,Local Dispatch
